Watching for file changes with StatReloader
[16/Mar/2020 03:26:54] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:26:56] "GET /main/ HTTP/1.1" 200 2020
[16/Mar/2020 03:26:58] "GET /apply/ HTTP/1.1" 200 5783
[16/Mar/2020 03:26:58] "GET /static/pro.mp4 HTTP/1.1" 200 7176192
[16/Mar/2020 03:26:58] "GET /profile/ HTTP/1.1" 200 7861
[16/Mar/2020 03:26:58] "GET /static/pro.mp4 HTTP/1.1" 200 28024832
[16/Mar/2020 03:27:01] "GET /view/ HTTP/1.1" 200 6057
[16/Mar/2020 03:27:16] "GET /view/ HTTP/1.1" 200 6057
[16/Mar/2020 03:27:18] "GET /main/ HTTP/1.1" 200 2020
[16/Mar/2020 03:27:20] "GET /recruit/ HTTP/1.1" 200 908
[16/Mar/2020 03:27:20] "GET /static/pro.mp4 HTTP/1.1" 200 12165120
[16/Mar/2020 03:27:22] "GET /apply/ HTTP/1.1" 200 5783
[16/Mar/2020 03:27:23] "GET /profile/ HTTP/1.1" 200 7861
[16/Mar/2020 03:27:26] "GET /main/ HTTP/1.1" 200 2020
[16/Mar/2020 03:27:38] "GET /static/pro.mp4 HTTP/1.1" 200 20905984
[16/Mar/2020 03:27:48] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 03:27:48] "GET /static/css/base.css HTTP/1.1" 200 2166
[16/Mar/2020 03:27:49] "GET /static/main_img.png HTTP/1.1" 200 24850
[16/Mar/2020 03:27:49] "GET /static/like.jpg HTTP/1.1" 404 1655
[16/Mar/2020 03:27:49] "GET /static/pro.mp4 HTTP/1.1" 200 897024
[16/Mar/2020 03:27:49] "GET /static/pro.mp4 HTTP/1.1" 200 241664
